"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000130762",24.1211392073864,3.31829392504571,0.321854332028422,10.3099246921203,6.35511000659772e-25,4.37922279741945e-24
"ENSG00000162591",25.8334085176628,-0.895349145407943,0.199377240396989,-4.49072894993015,7.09798315749034e-06,1.88831985290414e-05
"ENSG00000158109",215.064237113175,-0.944402497298365,0.0688405191392182,-13.7187009788301,7.84585067316035e-43,8.31337739135552e-42
"ENSG00000116213",18.1983982262976,-0.359846388674208,0.236895601243436,-1.51900831752645,0.128760402373087,0.179938882087774
"ENSG00000078900",0.143480933254802,-0.74250573372996,2.42187651609024,-0.306582820716486,0.759160931409174,NA
"ENSG00000187648",3.63619813795996,0.461692760427451,0.499273275169979,0.924729568732206,0.355106594674429,0.433241247603582
"ENSG00000130764",99.3497569896135,-0.62530073566569,0.10465694265565,-5.97476593333229,2.30420774280814e-09,7.92135417360933e-09
"ENSG00000116198",60.6149807789525,0.294406232347603,0.124785110820413,2.35930577303653,0.0183091624720126,0.0316649238057055
"ENSG00000169598",9.97817954332385,-0.474504056772102,0.297115356348948,-1.5970364595185,0.110257580339856,0.157569031672755
"ENSG00000198912",34.1103222046919,0.125130235558634,0.170737387521703,0.732881282623167,0.46363084004126,0.53725611201785
"ENSG00000196581",5.48787930063293,2.01636620350722,0.498033420257233,4.04865641841019,5.15125015285208e-05,0.000125892322061014
"ENSG00000131697",13.8649570172111,0.484769199651546,0.260526391661903,1.86072971939309,0.0627823547285688,0.0958778901925923
"ENSG00000069424",44.825010901504,1.03671881223937,0.162166300059395,6.39293621337884,1.62730159069357e-10,6.0225731119688e-10
"ENSG00000116254",2.09378010451907,1.8399813919262,0.78915163360965,2.33159422544684,0.019722047901993,0.033918852811988
"ENSG00000116251",212.149499709863,0.354456261442039,0.0693729003810125,5.10943408009873,3.23125202724823e-07,9.65009051380892e-07
"ENSG00000158286",42.6300208917913,0.332939084734028,0.154004072282904,2.16188494108403,0.0306270460197186,0.0506738397780798
"ENSG00000116237",95.081120468547,0.950773558631004,0.106057277599281,8.9647177464175,3.1107654519232e-19,1.73731196899827e-18
"ENSG00000181563",0.809349242393862,-1.04171977002001,1.07861917051903,-0.965790149565696,0.33414919854111,0.411679827701256
"ENSG00000158292",14.3544316215301,-2.31131932071204,0.288803661132335,-8.00308178798661,1.2134328394736e-15,5.72311159349285e-15
"ENSG00000097021",45.6129212323939,1.28948438066658,0.168593792417726,7.64846891557913,2.03386365305024e-14,9.14647404438583e-14
"ENSG00000069812",0.104036724911287,0.0818887536151363,3.08457506014951,0.0265478232879077,0.978820389556947,NA
"ENSG00000187017",131.795741083458,-1.30128647439714,0.132915685304377,-9.79031535230166,1.23908822104172e-22,7.85602245062107e-22
"ENSG00000215788",9.17930457087292,0.245119437947459,0.32778803619782,0.747798610317582,0.454581640466744,0.529347232067785
"ENSG00000171680",13.1947444758588,1.19618406734646,0.292012072780735,4.0963514143631,4.19712662432392e-05,0.000103887278205266
"ENSG00000162408",28.0009086182282,0.05537273356429,0.176972060719556,0.312889691961253,0.75436446929037,0.799042679898803
"ENSG00000204859",35.8687300405975,-0.901638904829259,0.164567830055,-5.47882842307589,4.28151282860263e-08,1.36286015346672e-07
"ENSG00000162413",101.780427259857,0.340889090467522,0.097142718133009,3.50915742341873,0.000449528747791174,0.000980847634461137
"ENSG00000116273",29.7190363675332,0.260301159340541,0.179508429503178,1.45007763736206,0.147036870395152,0.202913504461463
"ENSG00000041988",16.4019435228652,-0.143844297204086,0.245827687035047,-0.585142784114382,0.558451712925011,0.627852325505081
"ENSG00000007923",158.277518730843,0.532523750203561,0.0923006746887564,5.76944591141142,7.95325997200139e-09,2.64027750572664e-08
"ENSG00000171735",41.6349010925955,1.6067063867153,0.178442884545439,9.00403729074536,2.17566207830668e-19,1.22168756266441e-18
